Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
1123,9ct Gold Bangle 1123,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
1124,9ct Gold Bangle 1124,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
1125,14ct Gold Bangle 1125,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
1126,18ct Gold Wedding Ring 1126,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,0,0
1129,DISCOUNTED! 22ct Gold Diamond Ring 1129,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
18ct-gold-ring-with-two-elephant-pattern-1130,18ct Gold Ring with two Elephant Pattern 1130,Title,Default Title,,,,,1130,,AU,Once-Loved Treasures,0,0,0,1,1
9cty-gold-diamond-eternity-ring-1131,9ct Gold diamond eternity ring 1131,Title,Default Title,,,,,1131,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-chain-1132,9ct Gold Necklace Chain,Title,Default Title,,,,,1132,,AU,Once-Loved Treasures,0,0,0,0,0
9ct-gold-diamond-ring-1162,9ct Gold Diamond ring 1162,Title,Default Title,,,,,1162,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-champaign-diamond-ring-1134,9ct Gold Champaign Diamond ring 1134,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
9ct-gold-bracelet-1136,9ct Gold Bracelet 1136,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-2,-2
9ct-gold-diamond-antique-ring-1137,9ct Gold Diamond Antique Ring 1137,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,0,0
9ct-white-gold-cz-ring-1138,9ct White Gold CZ Ring 1138,Title,Default Title,,,,,1138,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-byron-emerald-ring-1139,9ct Gold Ring with Byron Emerald 1139,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
18ct-elegance-gold-pearl-ring-1140,18ct Elegance Gold Pearl Ring 1140,Title,Default Title,,,,,1140,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-pearl-ring-1141,9ct Gold Pearl Ring 1141,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
